route_id,route_short_name,route_long_name,route_type,agency_id
17775,45ACt,Thyagaraya Nagar Bus Depot TO Saidapet Depot,3,69
23848,51 CT20,Saidapet TO Saidapet Depot,3,69
17780,M88 CT,Vadapalani TO Porur,3,69
17074,57,Vallalar Nagar TO Redhills Bus Terminus,3,69
16672,37,Vallalar Nagar TO Shastri Bhavan,3,69
17214,72,Thiruverkadu TO Poonamallee,3,69
17215,72,Poonamallee TO Thiruverkadu,3,69
17201,73,M.G.R.Koyambedu TO Avadi B.T,3,69
17202,73,Avadi B.T TO M.G.R.Koyambedu,3,69
23851,51 CT27,Velachery  TO  Royapuram terminus,3,69
23852,51 CT5,Chrompet TO 2 Depot TO Tambaram West Bus Stand,3,69
23853,51 CT6,Royapuram terminus TO  Velachery,3,69
11471,48B,Ambattur I.E TO Pudur,3,69
11473,48B,Ayanavaram B.T TO Vallalar Nagar,3,69
